"start_station_latitude","start_station_longitude","start_position","Weight"
"40.73266","-73.95826","40.73266,-73.95826","1408"
"40.73291553","-74.00711384","40.73291553,-74.00711384","60689"
"40.73401143","-74.00293877","40.73401143,-74.00293877","46551"
"40.734232","-73.986923","40.734232,-73.986923","41145"
"40.73564","-73.95866","40.73564,-73.95866","2684"
"40.73649403","-73.99704374","40.73649403,-73.99704374","40766"
"40.736502","-73.97809472","40.736502,-73.97809472","41103"
"40.73652889","-74.00618026","40.73652889,-74.00618026","31008"
"40.73827428","-73.98751968","40.73827428,-73.98751968","42243"
"40.73971301","-73.99456405","40.73971301,-73.99456405","52812"
"40.74147286","-73.98320928","40.74147286,-73.98320928","1065"
"40.74177603","-74.00149746","40.74177603,-74.00149746","46381"
"40.74475148","-73.99915362","40.74475148,-73.99915362","43206"
"40.74524768","-73.94733276","40.74524768,-73.94733276","1788"
"40.74854862","-73.98808416","40.74854862,-73.98808416","39169"
"40.749717753","-74.002950346","40.749717753,-74.002950346","27388"
"40.75001986","-73.96905301","40.75001986,-73.96905301","24622"
"40.751283596962296","-73.99692445993422","40.751283596962296,-73.99692445993422","16467"
"40.75383343437622","-73.94267678260802","40.75383343437622,-73.94267678260802","257"
"40.75455731","-73.96592976","40.75455731,-73.96592976","15766"
"40.7546011","-73.97187886","40.7546011,-73.97187886","4643"
"40.76030096","-73.99884222","40.76030096,-73.99884222","34893"
"40.76095756","-73.96724467","40.76095756,-73.96724467","36061"
"40.76227205","-73.98788205","40.76227205,-73.98788205","29509"
"40.76727216","-73.99392888","40.76727216,-73.99392888","27639"
"40.76780080148132","-73.96592080593109","40.76780080148132,-73.96592080593109","6424"
"40.771522","-73.990541","40.771522,-73.990541","31794"
"40.7734066","-73.97782542","40.7734066,-73.97782542","7621"
"40.77452835","-73.98753759","40.77452835,-73.98753759","6452"
"40.7770575","-73.97898475","40.7770575,-73.97898475","11493"
"40.77966809007312","-73.98093044757842","40.77966809007312,-73.98093044757842","8138"
"40.78499979","-73.97283406","40.78499979,-73.97283406","9248"
"40.78720869","-73.98128127","40.78720869,-73.98128127","6652"
"40.68522671947255","-73.97800147533417","40.68522671947255,-73.97800147533417","38"
"40.68539567","-73.97431458","40.68539567,-73.97431458","5829"
"40.6883337","-73.950916","40.6883337,-73.950916","921"
"40.68926942","-73.98912867","40.68926942,-73.98912867","15726"
"40.689888","-73.981013","40.689888,-73.981013","12931"
"40.69178232","-73.97372989","40.69178232,-73.97372989","605"
"40.69331716","-73.95381995","40.69331716,-73.95381995","4898"
"40.696192","-73.991218","40.696192,-73.991218","9558"
"40.697787","-73.973736","40.697787,-73.973736","4217"
"40.70122128","-74.01234218","40.70122128,-74.01234218","20655"
"40.7014851","-73.98656928","40.7014851,-73.98656928","18502"
"40.70706456","-74.00731853","40.70706456,-74.00731853","18909"
